x, y, alpha, beta, gamma, rx, ry, rz
0,0,87.967, 134.176, 2.8915e-26, 0.192161, 0.0655696, 0.432247
0,1,94.486, 129.402, 0.000228694, 0.201808, 0.0429649, 0.455008
0,2,96.8272, 120.546, 0.00065902, 0.200144, 0.0480235, 0.488154
0,3,97.6195, 111.352, 0.00177179, 0.186347, 0.0581674, 0.504192
0,4,99.8543, 104.127, 0.00334331, 0.172718, 0.0548445, 0.507349
0,5,106.986, 102.729, 0.0077626, 0.18091, 0.0228171, 0.51509
0,6,114.366, 101.355, 0.0130819, 0.183083, -0.012, 0.514762
0,7,121.144, 100.51, 0.0433061, 0.178558, -0.0444657, 0.51317
0,8,124.866, 97.2962, 0.133105, 0.168456, -0.0578778, 0.512603
0,9,122.344, 91.5783, 0.107476, 0.157833, -0.0375801, 0.512111
0,10,116.797, 89.4175, 0.01898, 0.156584, -0.00823898, 0.511991
0,11,113.055, 84.7412, 0.0450041, 0.13827, 0.0111285, 0.507072
0,12,105.929, 81.3605, 0.00853176, 0.123001, 0.0442602, 0.502677
0,13,101.28, 85.2332, 0.00345425, 0.126348, 0.0616931, 0.502155
0,14,100.11, 79.2546, 0.00391876, 0.104511, 0.0649792, 0.4879
1,0,95.9465, 136.813, 0.00242286, 0.205092, 0.0203804, 0.434811
1,1,99.6617, 129.75, 0.007302, 0.205904, 0.014861, 0.459775
1,2,103.358, 121.301, 0.00808431, 0.206945, 0.0120302, 0.488831
1,3,104.84, 114.973, 0.025338, 0.19641, 0.0141831, 0.499708
1,4,107.089, 109.545, 0.0258268, 0.192317, 0.0120135, 0.509635
1,5,113.776, 108.175, 0.0328149, 0.19288, -0.0201506, 0.511372
1,6,118.708, 104.603, 0.123162, 0.184476, -0.0394401, 0.513704
1,7,125.234, 100.645, 0.10378, 0.176204, -0.0650973, 0.512691
1,8,130.364, 97.4295, 0.220077, 0.163235, -0.0845608, 0.512162
1,9,128.897, 92.2538, 0.191986, 0.154885, -0.0691486, 0.511756
1,10,123.966, 89.3619, 0.0719478, 0.155238, -0.0417546, 0.512653
1,11,117.705, 83.8526, 0.129862, 0.137726, -0.00842328, 0.507837
1,12,112.606, 79.7723, 0.0339886, 0.125257, 0.0173694, 0.502533
1,13,103.769, 75.2228, 0.023528, 0.0994112, 0.0503956, 0.495644
1,14,108.631, 72.6515, 0.0154015, 0.101169, 0.0354976, 0.496404
2,0,105.812, 137.107, 0.0167548, 0.213632, -0.0324408, 0.449054
2,1,106.823, 130.913, 0.0287472, 0.211898, -0.0247089, 0.462472
2,2,109.988, 124.335, 0.088671, 0.207128, -0.0296349, 0.481037
2,3,114.293, 119.109, 0.0746927, 0.205629, -0.042813, 0.49752
2,4,116.702, 113.516, 0.233244, 0.195725, -0.0457344, 0.508261
2,5,122.778, 109.929, 0.176912, 0.192697, -0.071078, 0.516636
2,6,126.998, 107.349, 0.564553, 0.180815, -0.0872645, 0.516693
2,7,132.382, 102.048, 0.664861, 0.166999, -0.103173, 0.515714
2,8,135.596, 98.4664, 0.269157, 0.158875, -0.111694, 0.5117
2,9,135.45, 92.0995, 0.283612, 0.148887, -0.0988124, 0.510355
2,10,130.692, 89.1377, 0.697071, 0.146554, -0.073086, 0.514619
2,11,124.656, 82.7295, 0.641014, 0.135341, -0.0375036, 0.512254
2,12,122.369, 79.0596, 0.200366, 0.12828, -0.0226815, 0.507795
2,13,117.842, 74.718, 0.237572, 0.111489, -0.00206456, 0.502421
2,14,120.807, 71.515, 0.114194, 0.107469, -0.00994414, 0.501382
3,0,115.795, 137.421, 0.0681833, 0.211201, -0.0872839, 0.458684
3,1,115.865, 131.733, 0.120101, 0.208328, -0.0747322, 0.455654
3,2,118.153, 126.58, 0.437752, 0.20477, -0.0782854, 0.474378
3,3,123.218, 120.405, 0.326724, 0.202877, -0.094894, 0.506066
3,4,126.451, 116.876, 1.02402, 0.189369, -0.103788, 0.509958
3,5,130.842, 111.989, 1.58785, 0.179724, -0.116894, 0.51985
3,6,135.057, 109.425, 1.05716, 0.173069, -0.13324, 0.519722
3,7,137.982, 104.011, 2.22192, 0.160853, -0.135806, 0.525559
3,8,141.993, 98.5683, 1.13369, 0.146978, -0.140827, 0.517837
3,9,142.084, 92.1537, 1.16446, 0.140089, -0.128763, 0.520526
3,10,137.051, 89.3576, 3.02586, 0.141825, -0.104196, 0.530168
3,11,132.398, 82.3426, 2.65934, 0.133371, -0.0720768, 0.526631
3,12,133.076, 79.0286, 0.848064, 0.127734, -0.0681208, 0.516585
3,13,132.71, 75.2701, 1.20406, 0.115394, -0.0613356, 0.514061
3,14,132.474, 71.5259, 0.578217, 0.109794, -0.0557432, 0.511257
4,0,125.536, 137.285, 0.236417, 0.195957, -0.138202, 0.461688
4,1,125.027, 132.07, 0.500466, 0.203117, -0.127307, 0.42578
4,2,125.78, 128.582, 1.99766, 0.195737, -0.123996, 0.47065
4,3,130.401, 122.093, 2.51141, 0.185857, -0.136192, 0.507573
4,4,135.138, 119.159, 1.75395, 0.175053, -0.153131, 0.50769
4,5,137.932, 113.934, 4.87584, 0.168651, -0.159742, 0.537177
4,6,141.65, 109.958, 3.92041, 0.158646, -0.166907, 0.534024
4,7,140.785, 105.646, 7.12526, 0.159723, -0.158665, 0.557049
4,8,142.01, 98.8482, 8.00131, 0.151508, -0.150307, 0.561668
4,9,141.607, 93.7461, 8.50989, 0.14669, -0.138236, 0.564128
4,10,139.09, 89.6963, 9.85971, 0.14578, -0.121139, 0.573228
4,11,137.1, 83.242, 8.36812, 0.135932, -0.09915, 0.562228
4,12,138.494, 78.0739, 5.64404, 0.12344, -0.0922924, 0.543087
4,13,142.709, 75.1033, 2.1944, 0.110698, -0.100062, 0.51982
4,14,138.972, 74.1154, 4.32158, 0.112669, -0.0869977, 0.532847
5,0,134.698, 135.8, 0.657035, 0.159511, -0.164254, 0.438517
5,1,133.443, 133.096, 2.52946, 0.172097, -0.162694, 0.463384
5,2,133.559, 130.313, 7.24259, 0.18022, -0.173752, 0.520073
5,3,136.917, 124.05, 7.68589, 0.17387, -0.181205, 0.545302
5,4,141.421, 119.903, 4.73684, 0.159752, -0.187444, 0.526406
5,5,140.594, 115.447, 10.3337, 0.16632, -0.184123, 0.574299
5,6,140.201, 110.347, 13.4084, 0.170592, -0.17621, 0.601403
5,7,141.119, 105.847, 13.6599, 0.163171, -0.170158, 0.601863
5,8,143.12, 99.4451, 14.8216, 0.155131, -0.165016, 0.604979
5,9,142.816, 92.6997, 14.9551, 0.147185, -0.147557, 0.59952
5,10,137.734, 90.1441, 15.0391, 0.154605, -0.122153, 0.609108
5,11,138.212, 84.4529, 14.1221, 0.14073, -0.111952, 0.598193
5,12,137.92, 79.2303, 13.3119, 0.13269, -0.0994972, 0.590041
5,13,142.787, 77.4901, 12.3034, 0.122072, -0.114591, 0.579976
5,14,141.033, 73.9598, 12.4149, 0.116034, -0.102248, 0.580693
6,0,142.234, 135.079, 1.93827, 0.113449, -0.146633, 0.369666
6,1,138.504, 135.258, 8.52348, 0.154675, -0.191478, 0.502509
6,2,136.735, 131.581, 13.9609, 0.181647, -0.211185, 0.597572
6,3,139.038, 127.078, 14.4061, 0.173026, -0.212774, 0.60214
6,4,138.264, 121.045, 14.5071, 0.178229, -0.19465, 0.607534
6,5,142.416, 118.54, 16.0667, 0.164279, -0.209153, 0.614146
6,6,141.071, 112.529, 17.8396, 0.166247, -0.192562, 0.632229
6,7,140.638, 105.951, 20.1191, 0.163754, -0.178906, 0.650314
6,8,138.71, 100.326, 18.3375, 0.16601, -0.153805, 0.636946
6,9,140.306, 95.8091, 19.7388, 0.154648, -0.151391, 0.639561
6,10,139.773, 90.7841, 20.8429, 0.147712, -0.139155, 0.643774
6,11,138.884, 85.0547, 20.1471, 0.138863, -0.122386, 0.634494
6,12,139.724, 78.5232, 19.5037, 0.126278, -0.111769, 0.624298
6,13,141.217, 74.8054, 19.7974, 0.117568, -0.111383, 0.622903
6,14,140.494, 71.0964, 16.9123, 0.113886, -0.0999576, 0.607698
7,0,139.068, 136.898, 9.91326, 0.148698, -0.191309, 0.502345
7,1,139.181, 138.798, 15.0303, 0.168707, -0.240942, 0.597626
7,2,139.316, 135.252, 19.3864, 0.168742, -0.243872, 0.639092
7,3,142.198, 130.296, 18.4491, 0.163657, -0.245105, 0.634113
7,4,140.145, 124.06, 20.7091, 0.169584, -0.222579, 0.654234
7,5,141.762, 119.514, 25.4479, 0.162705, -0.22567, 0.685634
7,6,139.804, 113.527, 24.4117, 0.167898, -0.200465, 0.684653
7,7,141.652, 108.032, 27.5419, 0.160901, -0.201708, 0.708674
7,8,141.115, 101.464, 27.2481, 0.156518, -0.179799, 0.697259
7,9,138.667, 96.5087, 25.908, 0.154897, -0.153499, 0.682243
7,10,141.34, 90.5728, 28.3046, 0.141496, -0.154493, 0.691869
7,11,137.324, 85.7731, 26.1188, 0.138625, -0.122796, 0.66996
7,12,138.471, 78.3893, 26.2557, 0.124157, -0.11245, 0.662267
7,13,142.636, 75.1241, 27.9672, 0.11359, -0.125499, 0.6697
7,14,137.794, 71.8618, 25.9203, 0.110888, -0.0970532, 0.643855
8,0,131.155, 136.978, 16.6171, 0.194558, -0.193911, 0.618105
8,1,135.032, 137.861, 21.0777, 0.181599, -0.231069, 0.657972
8,2,138.806, 138.172, 27.4412, 0.167048, -0.269056, 0.711419
8,3,141.064, 131.587, 26.9369, 0.162675, -0.259695, 0.704035
8,4,137.135, 125.436, 25.0187, 0.177384, -0.220142, 0.696084
8,5,135.037, 119.846, 26.9749, 0.184862, -0.200165, 0.71725
8,6,134.577, 113.787, 25.3154, 0.182584, -0.177719, 0.700814
8,7,134.847, 108.31, 27.3008, 0.177776, -0.168853, 0.713088
8,8,134.537, 101.792, 27.5066, 0.170692, -0.15046, 0.706602
8,9,133.055, 96.8245, 27.201, 0.163092, -0.128166, 0.690962
8,10,133.882, 90.7575, 28.571, 0.149759, -0.118695, 0.682982
8,11,131.815, 86.2126, 26.3542, 0.145521, -0.0977633, 0.670157
8,12,133.372, 79.8577, 28.1308, 0.130944, -0.0949639, 0.673351
8,13,133.658, 75.8629, 26.5273, 0.121611, -0.0871061, 0.657586
8,14,132.066, 74.5525, 23.5526, 0.121264, -0.0751494, 0.636326
9,0,124.665, 136.219, 16.5357, 0.225462, -0.16803, 0.643155
9,1,126.748, 137.975, 24.6051, 0.210466, -0.197094, 0.704092
9,2,132.538, 135.19, 26.5843, 0.188869, -0.224718, 0.713437
9,3,133.905, 130.606, 28.4116, 0.186734, -0.225442, 0.731376
9,4,130.562, 125.135, 25.4887, 0.196529, -0.186207, 0.711172
9,5,127.211, 119.906, 20.3579, 0.211456, -0.14737, 0.678866
9,6,128.356, 114.129, 22.944, 0.199588, -0.142208, 0.690745
9,7,127.502, 108.557, 20.3726, 0.199232, -0.120609, 0.670698
9,8,127.383, 101.958, 20.8138, 0.187407, -0.104434, 0.663927
9,9,126.689, 98.1585, 27.2693, 0.174027, -0.0982207, 0.693201
9,10,126.528, 91.1744, 27.5083, 0.159112, -0.0822697, 0.680892
9,11,126.001, 87.9201, 21.2138, 0.160203, -0.0680687, 0.647254
9,12,126.035, 80.2434, 27.206, 0.13495, -0.0604247, 0.662847
9,13,125.249, 73.8831, 26.2584, 0.121421, -0.0478129, 0.650564
9,14,124.425, 76.8821, 18.2195, 0.133892, -0.0412151, 0.607592
10,0,117.398, 138.29, 18.0031, 0.24216, -0.133303, 0.662813
10,1,119.629, 135.996, 21.0945, 0.229338, -0.144271, 0.682587
10,2,122.587, 132.671, 24.9785, 0.216397, -0.158592, 0.711179
10,3,124.169, 129.293, 28.4597, 0.212959, -0.165593, 0.741077
10,4,122.718, 124.02, 26.4099, 0.213284, -0.139564, 0.723974
10,5,123.315, 119.789, 25.9028, 0.21448, -0.132876, 0.724812
10,6,123.326, 114.52, 23.8826, 0.206649, -0.115622, 0.697438
10,7,124.393, 109.104, 25.7708, 0.196981, -0.1101, 0.702271
10,8,123.394, 103.322, 23.4525, 0.187677, -0.0885135, 0.675898
10,9,121.828, 97.5695, 25.1463, 0.174423, -0.0691136, 0.673689
10,10,121.101, 91.9014, 24.7998, 0.16249, -0.0540528, 0.661729
10,11,120.621, 86.7355, 24.9061, 0.151034, -0.0432508, 0.65508
10,12,120.102, 80.1123, 25.787, 0.133618, -0.0327509, 0.648264
10,13,119.568, 75.1557, 22.6624, 0.123481, -0.0223073, 0.624714
10,14,120.002, 74.4102, 16.7432, 0.127329, -0.0183474, 0.597138
11,0,112.74, 138.466, 25.1688, 0.242062, -0.116108, 0.723309
11,1,112.647, 133.545, 18.5713, 0.243266, -0.0917548, 0.664911
11,2,112.6, 131.761, 21.8217, 0.235867, -0.0914581, 0.6896
11,3,115.351, 128.581, 27.6415, 0.230049, -0.109145, 0.741695
11,4,115.799, 121.913, 27.2848, 0.22114, -0.0926471, 0.726959
11,5,116.172, 119.232, 20.2787, 0.225526, -0.0797865, 0.674865
11,6,116.961, 113.648, 23.2672, 0.208623, -0.0744905, 0.682109
11,7,117.35, 108.234, 22.3013, 0.199044, -0.0637088, 0.667725
11,8,116.293, 102.725, 22.2306, 0.187034, -0.0462545, 0.655154
11,9,115.304, 98.5032, 26.1324, 0.175488, -0.0359606, 0.672278
11,10,115.154, 91.4595, 20.7782, 0.163393, -0.0189369, 0.629151
11,11,114.864, 87.8184, 27.38, 0.14971, -0.0178734, 0.662663
11,12,114.354, 79.6172, 27.4738, 0.128238, -0.00683082, 0.647481
11,13,113.731, 72.8521, 25.0303, 0.110939, 0.0026627, 0.621261
11,14,114.024, 72.4832, 17.974, 0.115331, 0.00619449, 0.589036
12,0,103.611, 138.711, 25.0843, 0.242405, -0.0565187, 0.705347
12,1,103.635, 136.923, 18.3341, 0.248153, -0.0436567, 0.654398
12,2,104.099, 131.542, 17.9233, 0.245038, -0.0330953, 0.655637
12,3,107.227, 127.335, 23.1365, 0.230348, -0.0489506, 0.69056
12,4,109.51, 121.459, 25.3696, 0.219432, -0.0509689, 0.701619
12,5,110.864, 116.224, 24.2744, 0.211503, -0.0451564, 0.685019
12,6,112.691, 110.875, 25.8681, 0.199375, -0.0438049, 0.68085
12,7,112.958, 108.151, 18.449, 0.20504, -0.0337403, 0.639885
12,8,112.184, 101.677, 17.9656, 0.186895, -0.016534, 0.616786
12,9,110.024, 98.4568, 22.7353, 0.172678, -0.00506178, 0.639419
12,10,109.779, 92.7513, 24.0367, 0.157502, 0.00252686, 0.639161
12,11,109.131, 86.8626, 26.1902, 0.140606, 0.0102724, 0.640949
12,12,108.422, 79.6914, 25.4502, 0.121699, 0.0189687, 0.625263
12,13,106.379, 73.1155, 20.0546, 0.105497, 0.0336292, 0.588035
12,14,105.612, 75.3846, 19.423, 0.111472, 0.0371157, 0.585078
13,0,91.7928, 138.037, 19.9748, 0.234112, 0.0251068, 0.643213
13,1,94.725, 136.833, 18.8294, 0.243048, 0.0122928, 0.648345
13,2,95.5349, 131.515, 18.6156, 0.232402, 0.0194466, 0.636346
13,3,98.9942, 125.704, 21.862, 0.221828, 0.00739218, 0.660353
13,4,102.756, 119.853, 26.401, 0.213273, -0.00639696, 0.695582
13,5,103.41, 115.056, 23.6375, 0.204631, 0.00144443, 0.667242
13,6,105.094, 110.524, 25.7925, 0.19761, -0.000362848, 0.683595
13,7,106.233, 106.646, 20.344, 0.19222, 0.00401062, 0.637789
13,8,105.131, 101.155, 18.231, 0.179317, 0.0206816, 0.611288
13,9,104.367, 99.0948, 25.634, 0.165566, 0.0215896, 0.645543
13,10,103.478, 93.1527, 24.1882, 0.150706, 0.0328272, 0.63004
13,11,103.499, 88.4707, 27.2272, 0.136841, 0.0351953, 0.636512
13,12,103.661, 81.1909, 27.5386, 0.118042, 0.0382494, 0.625264
13,13,101.513, 75.8006, 24.4173, 0.101331, 0.0490643, 0.597826
13,14,99.8377, 71.8564, 26.62, 0.0871928, 0.0544052, 0.59524
14,0,93.1228, 135.095, 27.0415, 0.230983, 0.0183988, 0.705335
14,1,88.0846, 134.093, 23.39, 0.219116, 0.0537496, 0.656162
14,2,89.217, 132.486, 24.5941, 0.216766, 0.0500062, 0.663009
14,3,94.8276, 123.105, 19.4703, 0.212587, 0.0400414, 0.628478
14,4,97.1298, 119.237, 24.9614, 0.204053, 0.0293614, 0.666102
14,5,99.4893, 114.606, 18.3826, 0.203239, 0.0287405, 0.622414
14,6,98.9119, 110.817, 24.4798, 0.185969, 0.033292, 0.644141
14,7,102.904, 107.87, 18.1111, 0.195113, 0.0226043, 0.622214
14,8,98.8941, 101.227, 18.0453, 0.169406, 0.0515283, 0.602704
14,9,98.6277, 98.7173, 25.1895, 0.156744, 0.0512364, 0.635676
14,10,101.818, 91.94, 20.0533, 0.149842, 0.0456161, 0.60789
14,11,97.3854, 89.4609, 22.7079, 0.132499, 0.0652598, 0.608599
14,12,99.3881, 83.6412, 25.331, 0.117901, 0.0559007, 0.610937
14,13,96.812, 78.3478, 26.0065, 0.0970553, 0.0659716, 0.594641
14,14,96.2101, 75.1667, 18.5031, 0.0940238, 0.0726602, 0.567561
